input_text,vibe_label,,,,
"Categories: Restaurants, Soup, Japanese, Sushi Bars | Review: I tried, I really tried. I have been here several times, hoping that it would improve but it hasn't. Terrible service, they were out of oysters and crab, the Nigiri had way too much rice, the edamame was overcooked. What a waste. We live close by but we'll make the drive to Sushi Teri next time",late_night,,,late_night,107
"Categories: Seafood, Bars, Wine Bars, American (New), Restaurants, French, Nightlife, Mexican | Review: Dinner here was such a great experience! The service was amazing. You could tell our server wanted to really make our experience perfect. 
The food was delicious as well! We enjoyed everything we ate. We ordered the French onion soup, pork belly, wagyu beef, and scallop trio. All of them were really tasty.
I loved that the chef delivered our entree and asked us if we had any questions. 
All around good experience.",late_night,,,date_night,5
"Categories: American (New), Food, Restaurants, Coffee & Tea, Breakfast & Brunch | Review: Why on earth would you ever want to eat here for breakfast? My girlfriend and I went there for breakfast and the woman who took our order couldn't of been any more friendlier - yes, I'm  being very sarcastic. We ordered our food at the window and she was acting as if she had more important things to do than serve us. Apparently customers aren't important here. I ordered the chicken, gravy and biscuits - and potatoes and bacon - which our side dishes came out first. The best thing on the menu was the bacon . Even getting silverware was a hassle. The only person who was decent to us was a smiling woman who was cleaning up afterbus and she promptly provided us a box. Honestly, I ate there an hour ago and I feel gross and sluggish. Is this SB restaurant trying too hard to be like LA? Nice try but even similar restaurants in LA have better service and items on their menu. Definitely not worth it!",family_friendly,,,study_spot,19
"Categories: Restaurants, Mexican | Review: A recommendation. A very good one! I hear the Gorditas are great, but I went with the adobada (adovada?) sope. Well seasoned fresh, and quality meat. A little pricey for one item with no sides or drink, portion was very nice though. They have a small salsa bar as most places should have. Small interior, seating about 10, very clean. Quick service, if I lived closer I'd come here a bit more to try the other goodies. I hear the tacos are great as well. 

Where I was raised sope is one of my fav dishes. My new home in Los Angeles county turned me on to adovada (adobada?). I don't know which is the correct spelling, I'll look it up. Since I love those two things I decided to get this combo. This version of this dish and meat prep are drastically different than what I am accustomed to, but that's not a bad thing. You won't regret eating here.",late_night,,,casual_hangout,46
"Categories: Restaurants, Sandwiches, Chicken Shop, Chicken Wings, Fast Food, Caterers, Event Planning & Services | Review: I love the spicy chicken sandwich.  The crosscut fries are good too but are mostly used to get more delicious Chick-fil-A sauce in my mouth.

The place is always clean with great service.

I haven't been to impressed with the dessert options though.  The cookie sundae was recommended to us but the ice cream was more ice than cream and the cookie chunks were a little hard to chew on.",casual_hangout,,,family_friendly,18
"Categories: Indian, Restaurants | Review: This is definitely my GO-TO lunch spot.  Friendly service, delicious food, and reasonable pricing.  I was first introduced to this place by a friend who goes every Tuesday and Friday for the Veggie Korma in their buffet.  As I transition to being more vegetarian, It's great to a variety of delicious veggie options as well as health meat ones if I'm feeling tempted :). Also comes with a piping hot Naan bread which is to die for.

I met the owner Remi the other day and his smile/nod of acknowledgement every time I come in makes me feel like I'm family.

Highly recommend this to anyone!",family_friendly,,,upscale,2
"Categories: American (New), Tapas/Small Plates, Event Planning & Services, Venues & Event Spaces, Restaurants, Burgers | Review: I thought that this was just oKay. I see why people like it with all the craft beers and the outside atmosphere, but it's a lot of money for ordering at a counter and having your food come out all at different times. The place didn't flow and the food was okay for the exception of the Mexican Street corn which  was awesome and a must try but it didn't come out till my husband and and son were already done with their food and it's supposed to be a starter.",late_night,,,trendy,0
"Categories: Nightlife, Bars, Karaoke, Beer Bar, Restaurants, Mexican | Review: Just went here and I am extremely disappointed. First of all, I asked about the Carne Asada fries and I was told that they come with ""fries, CHEESE and steak"". That's fine, sounds normal. I decided I would rather get the Carne Asada tacos and I asked what comes on them, and I was told that it only comes with the meat. I asked if I could get lettuce and cheese and the cashier responded ""lettuce is at the salsa bar and we do not have CHEESE"". You do not have CHEESE? FOR TACOS? When I was told literally 10 seconds prior that they serve cheese on the fries??? I do not understand. So I proceeded with my order anyways, and I got my tacos and headed to the salsa bar. The lettuce is not lettuce, it is actually parsley MIXED with onions (???). They do not have lettuce by itself. Lastly, my receipt says I was charged $0.15 for ""1 Sorry"". I have no idea what a ""Sorry"" is, nor did I purchase one. I asked what this meant and apparently it is the sales tax, but on the receipt the sales tax was listed separately at $0.47. This place is a complete joke and might as well close down until they can get the ingredients necessary for tacos, as this is a taco place right? Terrible.",late_night,,,group_friendly,3
"Categories: Restaurants, American (New), Bars, Nightlife, Seafood, Breakfast & Brunch, American (Traditional), Desserts, Food | Review: GREAT FOOD, FRIENDLY SERVICE
I can't begin to list all that makes this restaurant worthwhile, but I will try:

The staff are friendly and love being there! They are ""like family"" as was explained
They REALLY care that you are happy and enjoying your meal
They are very specific in making your food/coffee EXACTLY how you like it- special requests are honored Mitchell made me the best dry double shot cappuccino ever!
I stayed for three days and ate exclusively there The halibut and cous cous was excellent, followed by baked chocolate cake with vanilla gelato and white chocolate crumble, amazing berry herbal tea, yum.
Day two, Risotto indescribleably good!!
Day three, Roasted chicken with pearl onions red bliss potatoes and long beans , breakfasts were organic eggs fresh baked bread fresh berries maple smoked bacon and the best hash browns I've had, yogurt with granola and berries, and cast iron baked eggs with spinach and potatoes (like a quiche) very good!

getting hungry?
Head over to OUTPOST, see you there!",late_night,,,,
"Categories: Cocktail Bars, Fish & Chips, Nightlife, Seafood, Restaurants, Bars | Review: Great, fresh sea food with a view to boot! Whenever I've been here it happens to be on a weekend and of course with the expected wait. Worth it every time. I could go for some of their clam chowder right now.",late_night,,,,
"Categories: Bars, Mexican, Nightlife, Restaurants | Review: HAIR IN 3 SEPERATE  PLATES! Food is great gone like ten times but the new young cooks hair ended up in my chips a side plate of peppers and a salad so just look at your plates good.",late_night,,,,
"Categories: Restaurants, American (Traditional) | Review: Place looks much better from the outside. Service was just ok.  I got a blackened chicken salad that was just above something I'd return.  My son's meatball sandwich tasted funky to me.",casual_hangout,,,,
"Categories: Restaurants, Nightlife, Mexican, Bars, Cocktail Bars | Review: This restaurant, hands down, has the best complimentary chips and salsa I've ever had. This alone would make me want to come back! The green salsa is surprisingly creamy yet still hot. I'm still thinking about the chips as I write this post. 

The tacos de camaron were amazing as well. The shrimp included in the tacos were almost the size of my palm!! They were very generous with the amount of shrimp per taco too. The rice was alright--definitely not the highlight of the show but did it's job.

The taquitos de pato en mole coloradito was (duck taquitos with mole) was definitely interesting. The duck was shredded and fried into taquitos, and the mole was slightly bitter. I'm glad we were able to try this but I'm not sure if we'll reorder again.

The esquites Mexicanos was delicious. The corn was perfectly seasoned with cojita cheese and sour cream. Definitely the fanciest esquites I've had. 

Overall a great experience! The food was satisfying and the service was friendly. I'd recommend coming while the sun is about to set so you can enjoy your meal with a beautiful view.",late_night,,,,
"Categories: Restaurants, Pizza | Review: Nothing derails my good intentions of starting a diet like a Revolver Pizza craving! It's absolutely the BEST!! Beautifully handmade crust and fresh toppings. Not fancy just delicious. And the salads are incredible. Best Caesar with real anchovy dressing. Market salad has yummy dill ranch, shaved vegetables on yummy lettuce. I don't love the atmosphere, so we always get it to go. It's super popular so get your order in early! But it's definitely our favorite pizza in SB.",casual_hangout,,,,
"Categories: Food, Acai Bowls, Bakeries, Coffee Roasteries, Desserts, Coffee & Tea | Review: I came to Carpinteria to celebrate 4th of July, being my first time here i looked up coffee shops near me, and Lucky Llama came up, the reviews were good so i decided to try it. It did not disappoint, customer service was excellent and the place feels very cozy.",study_spot,,,,
"Categories: Cocktail Bars, Farmers Market, Tapas Bars, Food, Desserts, Nightlife, Asian Fusion, Restaurants, Tapas/Small Plates, Bars, Indonesian | Review: I left this place still hungry and extremely disappointed as I had heard good things about the food.... Where is the food? Menu is very sparse and so are the servings. The waiter suggested we order the ""sampler platter"", which we did. We enjoyed the ""meat"" on the platter and asked if we could have that as a regular ""entrée"" item..after asking the chef? .. The waiter said we could not have any more of the meat as there was not enough?  ""Not enough"" summed up my experience! We ordered 2 bottles of hard cider and were brought one bottle and told they were out! Strange place .. And they could use some help with their interior design/ ambiance. Sorry folks, I just don't get the attraction.",late_night,,,,
"Categories: Gluten-Free, Gastropubs, Vegan, Restaurants, Indian | Review: Just tried this spot.... so delicious. Highly suggest. Also best customer service 10/10.",late_night,,,,
"Categories: Restaurants, Mexican | Review: Best fresh homemade salsa on Linden in Carp. Lunch and dinners always are good. Authentic, long time local Mexican food, sixteen years.

Funky old school, nice local family. Small and cozy. 
There are always lunch and dinner specials on the sign in front. Check it out. 

Local home made flavors, no worries here. 

Yumster.",family_friendly,,,,
"Categories: Bakeries, Cafes, Coffee & Tea, Food, Desserts, Breakfast & Brunch, Restaurants | Review: I stopped by for cupcakes earlier today. I took 2 bites of my delicious coconut cupcake. As I was taking the third bite I saw a long blonde hair inside my cupcake. It was a disappointment because I didn't want to go back to exchange my cupcake so I just threw it out along with the other two.",study_spot,,,,
"Categories: Bakeries, Food Trucks, Food, Cupcakes | Review: The best cupcakes I have ever had is from Enjoy Cupcakes in the Santa Barbara Public Market downtown. They have mini cupcakes for $2 each and you can get one of each flavor (6 flavors) for $10 that comes in a cute little mini egg carton. Enjoy Cupcakes never gets boring because they change their flavors often and I have yet to try a single one that is a miss. From the Chocolate Malt sprinkled with tiny bits of In 'n Out fries to Chardonnay and the Neapolitan, the flavors can never go wrong. The problem with many cupcakes is that they're too dry and they crumble at the touch. But Enjoy Cupcakes are always perfectly baked and the gooey fillings on the inside keep it moist and scrumptious. The location is also perfect; the Public Market is a hip little indoor place with a few other good eateries like the Thai restaurant and the unique ice cream shop that I have yet to try.",late_night,,,,
"Categories: Vegetarian, Gluten-Free, Food, Restaurants, Coffee & Tea, American (New), Vegan, Cafes | Review: The food was good, at a good price.  The staff are very friendly.  However, this was not the place for us.  It wasn't clear from yelp or the website that this is just a tiny little place with only 3 tables.  We were with our 3 year old and 18 month old and there were no high chairs... so the kids had to sit on our laps and we were barely able to eat our food.   It took a really long time to get our food, and I was confused about the order in which the food was coming out... a few people who were behind us actually got their food first.  
Also, apparently the tables are also considered community tables because some lady with no personal boundaries came and sat at our four top right next to my husband and talked to us the entire meal lol.   I would've given this place four stars, but I really think it should be made much more clear in the website to not take kids here.   If you're not going to have high chairs, you have to advertise that, because as a parent it is a total nightmare to be surprised by something like that.  
I guess I was just disappointed because it was not at all what I expected based off of what I saw on yelp when I picked the place out. Also, I have no idea why yelp says this place is ""good for groups.""   The place could probably seat 12 people TOTAL (not a group of 12) if you're lucky.   Yelp seriously needs to revise its specifications for this restaurant.",study_spot,,,,
"Categories: British, International Grocery, Grocery, Food, Ethnic Food, Herbal Shops, Restaurants, Health Markets, Specialty Food, Health & Medical | Review: Bad customer service! I'm Vietnamese and the owner is Vietnamese too. The owner lady walked next to me when I was shopping and gave me a dirty look. When I checked out, she talked to me so rude, threw the receipt to my bag and didn't even said thank or goodbye. I guessed she was in bad mood? 
Never come back here again.",casual_hangout,,,,
"Categories: Cafes, Restaurants, Sandwiches, Chicken Shop, Salad, American (New), Burgers, Breakfast & Brunch | Review: Got the Ahi Tuna Salad and the Earth Burger! Soo good! The salad dressing and salad was my favorite. The burger was flavorful too but the patty was a but too squishy for my liking. But the food is good price for a filling meal. Also the proceeds go back to the community which is amazing",study_spot,,,,
"Categories: Nightlife, Sports Bars, Bars | Review: A nice departure from the college students and pop music you find in most bars of downtown Santa Barbara. Think upscale dive bar (yes, I realize that is an oxymoron) with a friendly local crowd. Music is selected via Jukebox, a rarity in Santa Barbara.
What I like most is that instead of featuring baseball and football (American), they show rugby and soccer on their flatscreen tv's. When World Cup is on, you can count on them showing it and a packed bar.",late_night,,,,
"Categories: Tapas/Small Plates, Desserts, Restaurants, Breakfast & Brunch, Food, Seafood | Review: We had oysters on a half shell, clam chowder, salmon, sea bass, calamari... ALL tasted great. Good food, good wine, great company and very attentive waiters! Comin back!!",date_night,,,,
"Categories: Restaurants, Nightlife, Mexican, Bars, Cocktail Bars | Review: All I can say is the the view of the beach and the amazing food they make... is delicious.  Heat service as well. I was blown away. I'm usually picky about this food type but it surprised me on how flavorful it was. Not to mention... if there's a bit of a wait. You can always walk around the corner and grab a drink.",late_night,,,,
"Categories: Sandwiches, Restaurants, Delis | Review: Best sammies and salads!!!!  Every time I come I try a new item, never a disappointment!!!",casual_hangout,,,,
"Categories: Mexican, Restaurants | Review: No dude. Just because they happen to serve random cow bits, does not automatically make this place ""good"" because it's ""authentic""..... I had high hopes but oh well.",casual_hangout,,,,
"Categories: Steakhouses, Bars, Brewpubs, Breweries, American (Traditional), Nightlife, Sports Bars, Restaurants, Food, Burgers, Comfort Food, Seafood | Review: Totally good local spot. Great beer selection. Calamari was a little soggy but everything else was great. We had a burger and a prime rib sandwich. Both did the job. The staff was the best part. Super sweet ladies!",late_night,,,,
"Categories: Custom Cakes, Bakeries, Food | Review: Amazing! We love cake and this was seriously the best cake we have ever had! The passionfruit coconut layer was to die for. All of our guests raved about it!!.

She was easy to communicate with and so sweet. The cake was delivered and decorated on site. When we saw it we were blown away. It was exactly what we wanted. 

Christine is so talented we loved that she made the cake from scratch. 

GO FOR A TASTING and you will be so happy you did!",casual_hangout,,,,
"Categories: Restaurants, Sandwiches, Nightlife, Bars, American (New), Cocktail Bars | Review: I recently went here to have dinner alone at the bar and I was very happy I did! The service is phenomenal and the drinks are delicious! I ordered the chicken sandwich which I would highly recommend with spicy aoli sauce. The atmosphere is lounge vibes meets classic american style and everyone who sat around me was so friendly. They also have their own parking lot so there is no worrying about space like other parts of Montecito.",late_night,,,,
